length,input,target
19,89 33 51 11 48 66 40 26 56 73 7 83 23 40 61 66 71 22 94,20
19,9 92 59 5 12 66 42 19 48 0 8 47 6 28 17 39 76 75 41,85
19,50 64 8 92 22 32 11 69 42 56 43 62 9 74 53 44 57 53 66,95
19,73 47 43 95 44 25 7 61 92 15 11 45 16 53 65 41 73 92 1,3
19,74 76 55 68 29 94 22 20 35 94 59 27 42 91 53 6 6 22 82,91
19,61 39 62 94 37 89 40 20 25 42 22 48 50 95 6 60 67 14 5,60
19,83 36 15 35 59 69 8 13 48 24 79 50 20 52 57 47 55 40 52,54
19,82 24 39 56 25 62 93 85 53 34 28 77 47 9 61 56 92 95 14,64
19,17 45 34 94 14 51 80 92 4 49 60 93 26 32 63 62 57 5 73,71
19,24 48 40 49 47 48 80 84 1 6 10 55 67 16 12 5 44 40 62,66
19,85 28 68 89 28 35 4 46 44 19 94 95 59 71 71 37 94 16 73,8
19,68 49 33 9 53 76 14 66 28 55 91 58 38 45 36 45 17 63 36,4
19,20 77 21 51 93 31 31 16 22 50 43 36 95 47 62 28 70 60 48,65
19,90 61 33 10 12 68 57 89 41 85 9 69 36 52 32 81 9 49 53,72
19,67 68 16 3 81 87 47 58 27 51 48 49 26 27 17 5 67 45 92,69
19,32 0 19 75 74 71 85 57 85 89 65 66 46 87 44 32 74 30 77,36
19,59 43 44 92 88 24 72 6 45 77 2 44 73 74 42 48 94 75 40,10
19,12 40 79 61 91 7 18 17 84 28 29 90 18 42 21 74 76 36 38,13
19,44 22 4 32 48 49 86 88 67 12 21 37 6 4 41 90 78 42 69,48
19,54 30 61 30 44 50 93 50 63 10 24 50 28 6 76 17 42 46 34,4
19,39 55 40 47 64 50 34 71 63 77 34 64 95 52 32 29 22 34 54,52
19,56 54 82 80 32 4 58 47 15 85 87 21 73 53 66 39 5 39 34,14
19,95 78 70 4 5 23 8 58 30 7 72 69 49 17 77 75 57 50 80,20
19,47 7 56 31 73 71 27 50 70 82 39 20 28 10 14 57 60 23 49,22
19,46 12 48 70 11 1 88 27 8 15 79 13 70 44 89 28 44 46 25,44
19,33 57 72 31 8 12 12 45 13 94 87 46 25 92 65 80 23 22 82,71
19,15 22 67 64 60 12 59 20 42 52 50 31 26 39 61 40 70 76 47,41
19,89 57 23 54 39 20 48 27 78 92 34 68 3 27 25 24 22 55 62,39
19,46 49 87 14 30 22 47 39 36 28 93 91 73 62 63 23 31 14 69,13
19,78 72 79 8 45 82 48 71 17 46 12 35 53 93 30 21 44 32 31,21
